Titulo;Data de inicio;Data de fim;Data publicacao;Local
Despacho com Secretário de Comunicação – Marcello D’Angelo;2023/05/15 15:00:00 GMT-3;2023/05/15 15:00:00 GMT-3;2023-05-14T20:18:33-03:00;Local: Gabinete do Prefeito
Solenidade de Abertura da APAS SHOW 2023 “37ª Feira e Congresso de Gestão Internacional em Supermercados – Além dos Alimentos”, com Governador Tarcísio de Freitas, Presidente da Associação Paulista de Supermercados (APAS) – Pedro Lopes, Presidente da Associação Brasileira de Supermercados (ABRAS) – João Galassi, 1° Vice-Presidente da Assembleia Legislativa do Estado de São Paulo – Gilmaci Santos, Secretária de Desenvolvimento Econômico e Trabalho – Aline Cardoso, Secretário Executivo de Relações Institucionais (SMCC) – Enrico Misasi, Diretor-Presidente da SP Negócios – Aloysio Nunes e Chefe de Gabinete da SP Negócios – João Manoel Scudeler de Barros  ;2023/05/15 10:45:00 GMT-3;2023/05/15 10:45:00 GMT-3;2023-05-14T20:14:00-03:00;Local: Expo Center Norte – 2° andar – Pavilhão Azul – Auditório Cantareira (Rua José Bernardo Pinto, 333 – Vl. Guilherme)
Despacho com Secretários de Governo – Edson Aparecido, Casa Civil – Fabricio Cobra, Comunicação – Marcello D’Angelo, Fazenda – Ricardo Torres, Secretário Executivo do Gabinete do Prefeito – Diogo Soares, Chefe de Imprensa do Prefeito – Flavio Freire e Chefe de Gabinete do Prefeito – Vitor Sampaio ;2023/05/15 09:00:00 GMT-3;2023/05/15 09:00:00 GMT-3;2023-05-14T20:11:00-03:00;Local: Gabinete do Prefeito
Sem compromissos oficiais;2023/05/14 00:00:00 GMT-3;2023/05/14 00:00:00 GMT-3;2023-05-14T20:07:53-03:00;Prefeitura
Um Dia com os Apóstolos 2023 – O Modelo de Jesus, com Coordenador em São Paulo da Visão Celular M12 – Apóstolo Fábio Abbud;2023/05/13 16:50:00 GMT-3;2023/05/13 16:50:00 GMT-3;2023-05-12T21:48:41-03:00;Local: Ginásio do Ibirapuera (Rua Manuel da Nobrega, 1361 – Portão 12)
Encerramento da Semana da Compostagem, com Fundadores da Empresa Planta Feliz – Mariana Sierra de Camargo, Adriano Sgarbi, Secretário do Verde e Meio Ambiente – Rodrigo Ravena, Secretária de Desenvolvimento Econômico e Trabalho – Aline Cardoso, Secretária de Relações Internacionais – Marta Suplicy, Secretária Adjunta de Subprefeituras – Carol Lafemina, Secretário Executivo de Segurança Alimentar, Nutricional e Abastecimento (SESANA/SMSUB) – Carlos Eduardo Batista Fernandes e Diretor-Presidente da SP Regula – João Manoel da Costa Neto;2023/05/13 12:00:00 GMT-3;2023/05/13 12:00:00 GMT-3;2023-05-13T00:07:57-03:00;Local: Av. Prof. Herman Von Ihering, 6000 – Jd. Alviverde
Visita às Obras de Contenção das Margens do Córrego Jacupeval, com Coordenador de Obras B&B Engenharia e Construções Ltda. – Vinicius Luiz Oliveira, Fiscal de Obras B&B Engenharia e Construções Ltda. – Jefferson Soares, Secretário de Infraestrutura Urbana e Obras – Marcos Monteiro, Secretária Adjunta da Secretária de Infraestrutura Urbana e Obras – Adriana Boggio, Secretária Adjunta das Subprefeituras – Carol Lafemina, Diretor-Presidente de SPObras – Taka Yamauchi, Chefe de Gabinete de SIURB – Eduardo Olivatto, Subprefeito de Itaquera – Silvia Regina, Diretor de Departamento Técnico de Obras e Manutenção de SIURB – Reinaldo Amad Meira, Diretora de Obras 2 da SIURB – Valéria Rodrigues Cassemiro e Engenheiro de Obras 2 da SIURB – Paulo Maurício Baccelli Mendes;2023/05/13 10:10:00 GMT-3;2023/05/13 10:10:00 GMT-3;2023-05-12T21:45:00-03:00;Local: Rua Guarapá esquina com Rua Flor da Esperança
Visita às Obras do CEI Itapipinas, com Diretor Construmedici Engenharia e Construção Ltda. – Gilberto Machado Giardino, Diretora Regional de Educação da Penha – Luci Batista Costa Soares de Miranda, Secretário de Infraestrutura Urbana e Obras – Marcos Monteiro, Secretário da Educação – Fernando Padula, Secretária Adjunta das Subprefeituras – Carol Lafemina, Diretor-Presidente de SPObras – Taka Yamauchi, Secretária Adjunta da Secretária de Infraestrutura Urbana e Obras – Adriana Boggio, Chefe de Gabinete de SIURB – Eduardo Olivatto, Subprefeito da Penha – Flávio Sol, Diretor de Departamento Técnico de Obras e Manutenção de SIURB – Reinaldo Amad Meira, Fiscal de Obra de SIURB – Valdecir Guerra Lopes, Fiscais de Obra de SME – Isaac da Silva Santana e Luiz Massayuki Sampaio Ito;2023/05/13 09:00:00 GMT-3;2023/05/13 09:00:00 GMT-3;2023-05-12T21:42:00-03:00;Local: Rua Itapipinas esquina com Rua Nicolau Jacinto
Despacho com Chefe de Imprensa – Flavio Freire ;2023/05/12 19:00:00 GMT-3;2023/05/12 19:00:00 GMT-3;2023-05-12T15:10:07-03:00;Local: Gabinete do Prefeito
Despacho com Secretário da Casa Civil – Fabricio Cobra;2023/05/12 18:00:00 GMT-3;2023/05/12 18:00:00 GMT-3;2023-05-11T21:22:10-03:00;Local: Gabinete do Prefeito
Caixa Mulheres de Favela, com Presidente da Caixa – Maria Rita Serrano, Presidente da CUFA Nacional – Kalyne Lima, Ministra de Estado das Mulheres – Cida Gonçalves, Diretor-Técnico do SEBRAE SP – Marco Vinholi, Chefe do Núcleo de Cultura do CEU – Cláudia Neves Pires, Secretária de Estado de Políticas para Mulher – Sonaira Fernandes, Secretária Municipal de Desenvolvimento Econômico e Trabalho – Aline Cardoso e Secretário Executivo Municipal de Planejamento e Entregas Prioritárias (SEPEP/SGM) – Fernando Chucre;2023/05/12 15:00:00 GMT-3;2023/05/12 15:00:00 GMT-3;2023-05-11T21:18:57-03:00;Local: CEU de Heliópolis (Estrada das Lágrimas, 2385 – São João Climaco)
Debate sobre as Política, Diretrizes e Atuação do Ministério da Fazenda, com Presidente da Ágora – Everton Schultz, Vice-Presidente da Ágora – Fábio Zambelli, Secretário Executivo do Ministério da Fazenda – Gabriel Galípolo e Secretário da Fazenda – Ricardo Torres;2023/05/12 12:30:00 GMT-3;2023/05/12 12:30:00 GMT-3;2023-05-11T21:16:26-03:00;Local: Baleia Rooftop (Rua Lício Nogueira, 92 – Itaim Bibi)
Despacho com Secretária de Gestão – Marcela Arruda, Secretário da Fazenda – Ricardo Torres, Secretário de Educação – Fernando Padula, Secretário da Casa Civil – Fabricio Cobra e Secretário Adjunto de Governo – Clodoaldo Pelissioni;2023/05/12 10:30:00 GMT-3;2023/05/12 10:30:00 GMT-3;2023-05-11T21:13:42-03:00;Local: Gabinete do Prefeito
Despacho com Secretário da Casa Civil – Fabricio Cobra, Secretário Adjunto de Urbanismo e Licenciamento – José Armênio de Brito Cruz, Secretário Executivo de Planejamento e Entregas Prioritárias (SEPEP/SGM) – Fernando Chucre, Chefe de Gabinete da Casa Civil – Kiki Ramos, Assessor de SMUL – Pedro Fernandes e Diretor-Presidente de SP Urbanismo – Cesar Azevedo;2023/05/12 09:30:00 GMT-3;2023/05/12 09:30:00 GMT-3;2023-05-11T21:10:29-03:00;Local: Gabinete do prefeito
Reunião com Presidente do Sindicato dos Professores Municipais – Claudio Fonseca;2023/05/12 08:30:00 GMT-3;2023/05/12 08:30:00 GMT-3;2023-05-11T21:07:24-03:00;Local: Gabinete do Prefeito
Entrevista ao vivo para o Podcast "Taí Gostei!";2023/05/11 19:30:00 GMT-3;2023/05/11 19:30:00 GMT-3;2023-05-10T20:53:53-03:00;Local: Rua Aurélia, 1794
Despacho com Secretário de Governo – Edson Aparecido e Secretário de Mobilidade e Trânsito – Ricardo Teixeira;2023/05/11 18:00:00 GMT-3;2023/05/11 18:00:00 GMT-3;2023-05-10T20:42:41-03:00;Local: Gabinete do Prefeito
Despacho com Secretários de Governo – Edson Aparecido, Casa Civil – Fabricio Cobra, Educação – Fernando Padula, Fazenda – Ricardo Torres, Saúde – Luiz Carlos Zamarco, Comunicação – Marcello D’Angelo, Secretário Executivo de Subprefeituras – Roberto Arantes, Secretário Executivo do Gabinete do Prefeito – Diogo Soares e Chefe de Imprensa do Prefeito – Flavio Freire;2023/05/11 16:30:00 GMT-3;2023/05/11 16:30:00 GMT-3;2023-05-10T20:40:24-03:00;Local: Gabinete do Prefeito
Reunião com Presidente do Grupo Sforza – Carlos Wizard Martins, Diretora Pedagógica da Rede MISTERWIZ – Karina Bolzan e Secretário de Educação – Fernando Padula;2023/05/11 15:00:00 GMT-3;2023/05/11 15:00:00 GMT-3;2023-05-10T20:37:16-03:00;Local: Gabinete do Prefeito
Seminário de Formulação e Mensuração das Políticas Públicas no Brasil, com Vice-Reitora da Universidade de São Paulo (USP) – Maria Arminda do Nascimento Arruda, Diretor do IEA-USP – Guilherme Ary Plonski, Pesquisador do Centro de Síntese – USP Cidades Globais – José Luiz Portella Pereira, Professor Emérito da Universidade Estadual de Campinas (UNICAMP) – Luiz Gonzaga Belluzzo, Secretário de Estado de Desenvolvimento Urbano e Habitação – Marcelo Branco e Secretário Adjunto  Municipal de Governo – Clodoaldo Pelissioni ;2023/05/11 10:00:00 GMT-3;2023/05/11 10:00:00 GMT-3;2023-05-10T20:35:22-03:00;Local: IEA – USP (Instituto de Estudos Avançados da Universidade de São Paulo) – (Rua Praça do Relógio, 109 – Butantã – Sala Alfredo Bosi)
Despacho com Secretário Executivo do Gabinete do Prefeito – Diogo Soares;2023/05/11 09:00:00 GMT-3;2023/05/11 09:00:00 GMT-3;2023-05-10T20:29:29-03:00;Local: Gabinete do Prefeito
Despacho com Secretário Executivo do Gabinete do Prefeito - Diogo Soares;2023/05/10 17:00:00 GMT-3;2023/05/10 17:00:00 GMT-3;2023-05-10T10:24:41-03:00;Local: Gabinete do Prefeito
Despacho com Secretário da Saúde – Luiz Carlos Zamarco e Secretário Adjunto da Saúde – Maurício Serpa;2023/05/10 15:00:00 GMT-3;2023/05/10 15:00:00 GMT-3;2023-05-09T20:15:16-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Governo – Edson Aparecido;2023/05/10 14:00:00 GMT-3;2023/05/10 14:00:00 GMT-3;2023-05-09T20:17:00-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Comunicação – Marcello D’Angelo;2023/05/10 11:00:00 GMT-3;2023/05/10 11:00:00 GMT-3;2023-05-09T20:11:45-03:00;Local: Gabinete do Prefeito
Despacho com Secretário da Fazenda – Ricardo Torres;2023/05/10 09:00:00 GMT-3;2023/05/10 09:00:00 GMT-3;2023-05-09T20:09:38-03:00;Local: Gabinete do Prefeito
Despacho com o Secretário da Casa Civil – Fabrício Cobra;2023/05/08 17:00:00 GMT-3;2023/05/08 17:00:00 GMT-3;2023-05-07T16:39:00-03:00;Local: Gabinete do Prefeito

Reunião com Presidente Executivo da Indústria Brasileira de Árvores (IBÁ) – Paulo Cesar Hartung, Diretor Executivo da IBÁ – José Carlos da Fonseca Junior, Gerente Executivo Política Industrial da IBÁ – Carlos Eduardo Mariotti, Ex-Presidente da Associação Empresarial da Região Sul (AESUL) – Vitor Arruda, Secretário do Verde e Meio Ambiente – Rodrigo Ravena e Secretário Executivo do Gabinete do Prefeito – Diogo Soares ;2023/05/08 15:00:00 GMT-3;2023/05/08 15:00:00 GMT-3;2023-05-07T16:39:09-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Governo – Edson Aparecido;2023/05/08 12:30:00 GMT-3;2023/05/08 12:30:00 GMT-3;2023-05-07T16:38:58-03:00;Local: Gabinete do Prefeito 

Solenidade em Comemoração aos 75 anos da Independência do Estado de Israel e aos 90 anos da Associação Paulista de Imprensa, com Presidente da Associação Paulista de Imprensa – Sérgio de Azevedo Redó, Presidente da Confederação Israelita do Brasil (CONIB) – Claudio Lottenberg, Presidente do Instituto Rav Sany e Diretor do Centro Judaico para Jovens Olami Faria Lima – Rav Sany, Vereadores Eli Correa e Edir Sales, Secretário da Casa Civil – Fabricio Cobra e Chefe de Gabinete de Relações Internacionais - Rodrigo Massi Silva;2023/05/08 10:00:00 GMT-3;2023/05/08 10:00:00 GMT-3;2023-05-07T16:38:00-03:00;Local: Câmara Municipal de São Paulo – Plenário 1° de maio (Viaduto Jacareí, 100 – Bela Vista)

Entrevista para a Rádio Bandeirantes – Jornal Gente;2023/05/08 08:30:00 GMT-3;2023/05/08 08:00:00 GMT-3;2023-05-07T16:38:02-03:00;Local: Estúdio Bandeirantes (Rua Carlos Cyrillo Júnior, 92)

49° Encontro Setorial do Círculo de Oração Jardim Ângela, com Pastor da Igreja Assembleia de Deus Ministério Belém – Dário Cassiano e Vereadora Rute Costa;2023/05/06 19:30:00 GMT-3;2023/05/06 19:30:00 GMT-3;2023-05-05T21:11:21-03:00;Local: Igreja Assembleia de Deus Ministério Belém – Setor Jardim Ângela (Rua Pierre Legros, 200 – Jardim Angela)
Team TEA, com Secretária da Pessoa com Deficiência – Silvia Grecco, Secretário de Esportes e Lazer – Cacá Vianna e Secretária Adjunta da Pessoa com Deficiência – Dika Vidal;2023/05/06 09:45:00 GMT-3;2023/05/06 09:45:00 GMT-3;2023-05-05T21:07:48-03:00;Local: Centro de Treinamento Paraolímpico Brasileiro (Rodovia dos Imigrantes, km 11,5 – Vila Guarani)
Início da Ampliação da Vacina Pfizer Bivalente à População Acima de 18 anos, o Dia D de multivacinação e o Avança Saúde – Hipertensão e Diabetes, com Secretário da Saúde – Luiz Carlos Zamarco, Secretária Executiva de Atenção Básica, Especialidades e Vigilância em Saúde (SEABEVS/SMS) – Sandra Sabino, Subprefeito da Lapa – Ismar Marcilio e Coordenador de Vigilância em Saúde (SMS) – Luiz Arthur Vieira Caldeira;2023/05/06 08:00:00 GMT-3;2023/05/06 08:00:00 GMT-3;2023-05-05T21:03:36-03:00;Local: UBS Jardim Vera Cruz (Rua Saramenha, 60 – Perdizes)
Despacho com diretor-presidente da Ade Sampa -  Renan Vieira Marino;2023/05/05 18:30:00 GMT-3;2023/05/05 18:30:00 GMT-3;2023-05-05T10:39:00-03:00;Local: Gabinete do Prefeito
Despacho com Secretário Executivo do Gabinete do Prefeito – Diogo Soares;2023/05/05 18:00:00 GMT-3;2023/05/05 18:00:00 GMT-3;2023-05-04T20:48:34-03:00;Local: Gabinete do Prefeito
Reunião com Reitora Pro Tempore da Universidade Federal de São Paulo (UNIFESP) – Raiane Patrícia Severino Assumpção, Chefe de Gabinete da UNIFESP – Dan Levy, Pró-Reitora de Planejamento da UNIFESP – Juliana Céspedes, Diretora do Campus Zona Leste da UNIFESP – Patrícia Laczynki de Souza, Deputado Federal Alencar Santana, Secretario Parlamentar do Deputado – Adalberto Vieira Barbosa, Secretário de Urbanismo e Licenciamento – Marcos Gadelho, Secretário do Verde e Meio Ambiente – Rodrigo Ravena, Secretário de Mobilidade e Trânsito - Ricardo Teixeira, Secretário Adjunto de Mobilidade e Trânsito - Celso Gonçalves Barbosa e Secretário Executivo de Relações Institucionais (SMCC) – Enrico Misasi;2023/05/05 16:30:00 GMT-3;2023/05/05 16:30:00 GMT-3;2023-05-04T20:47:00-03:00;Local: Gabinete do Prefeito
Despacho com Secretário da Casa Civil – Fabricio Cobra;2023/05/05 15:00:00 GMT-3;2023/05/05 15:00:00 GMT-3;2023-05-04T20:45:08-03:00;Local: Gabinete do Prefeito
Reunião com CONSEC – Conselho Nacional de Secretários de Educação de Capitais e Secretário Municipal de Educação – Fernando Padula;2023/05/05 12:30:00 GMT-3;2023/05/05 12:30:00 GMT-3;2023-05-04T20:43:35-03:00;Local: Prefeitura
Reunião com Presidente do Conselho de Administração da JHSF – José Auriemo Neto, Diretor-Presidente Incorporações da JHSF – Rogerio Coelho Lacerda, Diretora Negócios Imobiliários da JHSF – Patricia Gdikian, Secretário de Urbanismo e Licenciamento – Marcos Gadelho, Secretário Executivo de Planejamentos e Entregas Prioritárias (SEPEP/SGM) – Fernando Chucre, Procuradora Geral do Munícipio – Marina Magro e Assessor Jurídico de SMUL – Daniel Carone;2023/05/05 11:00:00 GMT-3;2023/05/05 11:00:00 GMT-3;2023-05-04T20:41:38-03:00;Local: Gabinete do Prefeito 
Entrevista para o Programa “Ideias em Debate”, da UGT – União Geral de Trabalhadores;2023/05/05 09:30:00 GMT-3;2023/05/05 09:30:00 GMT-3;2023-05-04T20:40:04-03:00;Local: Sede da UGT (Rua Formosa, nº 99 – 13º andar)
Reunião com Vice-Governadora do Ceará – Jade Romero,  sua Assessora – Tyrcya Quariguasi e Secretário Executivo de Relações Institucionais (SMCC) – Enrico Misasi;2023/05/05 08:30:00 GMT-3;2023/05/05 08:30:00 GMT-3;2023-05-04T20:37:14-03:00;Local: Gabinete do Prefeito
Despacho com Secretários de Governo – Edson Aparecido, Subprefeituras – Alexandre Modonezi, Casa Civil – Fabricio Cobra, Fazenda – Ricardo Torres, Educação – Fernando Padula, Saúde – Luiz Carlos Zamarco, Comunicação – Marcello D’Angelo, Secretário Executivo do Gabinete do Prefeito – Diogo Soares e Chefe de Imprensa do Prefeito – Flavio Freire ;2023/05/04 17:30:00 GMT-3;2023/05/04 17:30:00 GMT-3;2023-05-03T19:47:50-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Governo – Edson Aparecido, Controlador Geral do Município – Daniel Falcão, Procurador Geral do Munícipio – Marina Magro, Chefe de Gabinete da Controladoria Geral do Munícipio – Thalita Abdala Aris, Procuradora e Coordenadora da Comissão de Acordo de Leniência da CGM – Daniele Dobner e Chefe da Assessoria de Imprensa da CGM – Liliane Raquel Rossi;2023/05/04 17:00:00 GMT-3;2023/05/04 17:00:00 GMT-3;2023-05-03T19:45:23-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Governo – Edson Aparecido, Secretário da Fazenda – Ricardo Torres, Procuradora Geral do Munícipio – Marina Magro e Diretor-Presidente da SP Regula – João Manoel da Costa Neto;2023/05/04 15:30:00 GMT-3;2023/05/04 15:30:00 GMT-3;2023-05-03T19:43:20-03:00;Local: Gabinete do Prefeito
Reunião com Investidor Silvio Carvalho, Secretário da Fazenda – Ricardo Torres, Secretário Executivo do Gabinete do Prefeito – Diogo Soares e Secretário Executivo de Relações Institucionais (SMCC) – Enrico Misasi;2023/05/04 12:45:00 GMT-3;2023/05/04 12:45:00 GMT-3;2023-05-03T19:40:27-03:00;Prefeitura
Despacho com Chefe de Imprensa do Prefeito – Flavio Freire ;2023/05/04 10:30:00 GMT-3;2023/05/04 10:30:00 GMT-3;2023-05-03T19:38:06-03:00;Local: Gabinete do Prefeito
Gravação de entrevista para o Programa "É Notícia", da Rede TV!;2023/05/04 08:30:00 GMT-3;2023/05/04 08:30:00 GMT-3;2023-05-03T19:36:10-03:00;Local: Av. Presidente Kennedy, 2869 – Vila dos Remédios / Osasco
Reunião de Trabalho sobre o Financiamento do Transporte Coletivo, com Prefeito do Rio de Janeiro e 1° Vice-Presidente da FNP – Eduardo Paes, Prefeito de Aracaju e Presidente da FNP – Edvaldo Nogueira, Secretário Executivo Municipal de Transporte e Mobilidade Urbana (SETRAM) – Gilmar Pereira Miranda e Secretário Executivo do Gabinete do Prefeito - Diogo Soares;2023/05/03 09:00:00 GMT-3;2023/05/03 09:00:00 GMT-3;2023-05-02T20:32:00-03:00;Local: FGV Laranjeiras – Rua Presidente Carlos de Campos, 417 – Laranjeiras
Jantar de Comemoração do Web Summit 2023;2023/05/02 19:00:00 GMT-3;2023/05/02 19:00:00 GMT-3;2023-05-01T19:46:00-03:00;Prefeitura
Pouso no Rio de Janeiro;2023/05/02 16:10:00 GMT-3;2023/05/02 16:10:00 GMT-3;2023-05-01T19:44:15-03:00;Local: Aeroporto Santos Dumont
Decolagem para o Rio de Janeiro;2023/05/02 15:05:00 GMT-3;2023/05/02 15:05:00 GMT-3;2023-05-01T19:42:22-03:00;Local: Aeroporto de Congonhas
Despacho com Secretários de Governo – Edson Aparecido, Casa Civil – Fabricio Cobra, Fazenda – Ricardo Torres, Comunicação – Marcello D’Angelo e Chefe de Imprensa do Prefeito – Flavio Freire ;2023/05/02 12:30:00 GMT-3;2023/05/02 12:30:00 GMT-3;2023-05-01T19:31:00-03:00;Local: Gabinete do Prefeito
Ação com a Imprensa: Favela 3D;2023/05/02 09:30:00 GMT-3;2023/05/02 09:30:00 GMT-3;2023-05-01T19:29:24-03:00;Rua Forte de São Bartolomeu, 2 - Vila Independência
Cerimônia de Posse do Presidente e Vice-Presidente do Conselho Deliberativo do Clube Atlético Juventus ;2023/05/01 18:10:00 GMT-3;2023/05/01 18:10:00 GMT-3;2023-05-01T08:55:45-03:00;Local: Clube Atlético Juventus - Rua Comendador Roberto Ugolini, 152 - Mooca 
32 anos do Centro de Tradições Nordestinas;2023/05/01 14:00:00 GMT-3;2023/05/01 14:00:00 GMT-3;2023-05-01T08:52:56-03:00;Local: Rua Jacofer, 615 - Bairro do Limão 
Ordenação Episcopal do Monsenhor Marcelo Antonio da Silva;2023/05/01 10:00:00 GMT-3;2023/05/01 10:00:00 GMT-3;2023-05-01T08:45:00-03:00;Local: Paróquia São João de Brito - Rua Nebraska, 868 - Brooklin Novo
Despacho com Chefe de Gabinete – Vitor Sampaio;2023/04/28 18:00:00 GMT-3;2023/04/28 18:00:00 GMT-3;2023-04-27T20:55:25-03:00;Local: Gabinete do Prefeito
Entrevista para o Brasil Paralelo;2023/04/28 17:00:00 GMT-3;2023/04/28 17:00:00 GMT-3;2023-04-27T20:54:00-03:00;Local: Rua São Carlos do Pinhal, 747 - 9o andar - Ed. Eluma - Bela Vista
Despacho com Secretário de Comunicação – Marcello D’Angelo, Chefe de Imprensa do Prefeito – Flávio Freire e Secretário Executivo de Relações Institucionais – Enrico Misasi ;2023/04/28 15:30:00 GMT-3;2023/04/28 15:30:00 GMT-3;2023-04-27T20:48:11-03:00;Local: Gabinete do Prefeito
Reunião com Presidente do Movimento Estadual Pop Rua – Robson Mendonça, Gestora de Projetos do Movimento Estadual Pop Rua – Marina Helena Barbosa, Gerente de Espaço – Daiane Meurer, Gerente de Compras – Matheus Terrengui, Tesoureiro – Romualdo Carneiro, Secretária de Direitos Humanos e Cidadania – Soninha Francine, Secretário Executivo Adjunto de Governo – Edsom Ortega, Chefe de Gabinete da Secretaria de Assistência e Desenvolvimento Social - Ciça Santos, Coordenadora de Gestão do Sistema Único de Assistência Social (Gsuas) – Regina Alves e o Chefe de Gabinete do Prefeito – Vitor Sampaio;2023/04/28 14:00:00 GMT-3;2023/04/28 14:00:00 GMT-3;2023-04-27T20:46:00-03:00;Local: Gabinete do Prefeito
Despacho com Secretário de Comunicação – Marcello D’Angelo e Chefe de Imprensa do Prefeito – Flávio Freire;2023/04/28 12:30:00 GMT-3;2023/04/28 12:30:00 GMT-3;2023-04-27T20:58:10-03:00;Local: Gabinete do Prefeito
Abertura da Meta Innovation Day ;2023/04/28 10:20:00 GMT-3;2023/04/28 10:20:00 GMT-3;2023-04-27T20:39:37-03:00;Local: Avenida Paulista, 1374 – 5º andar – Bela Vista
Programa "Metrópole em Foco" – Rádio Trianon AO VIVO;2023/04/28 09:15:00 GMT-3;2023/04/28 09:15:00 GMT-3;2023-04-27T20:26:00-03:00;Local: Avenida Paulista, 900 - 1º andar - Edificio Gazeta
Cerimônia de Posse da Diretoria Executiva AESUL – Associação Empresarial da Região Sul “Biênio 2023-2025”;2023/04/27 20:00:00 GMT-3;2023/04/27 20:00:00 GMT-3;2023-04-27T16:24:12-03:00;Local: ADC Eletropaulo - Rua Peixe Vivo - Jardim Santa Helena
Reunião com Vereador Isac Félix ;2023/04/27 18:00:00 GMT-3;2023/04/27 18:00:00 GMT-3;2023-04-27T11:31:11-03:00;Local: Gabinete do Prefeito
